13-01-2019;11-12;237.52
13-01-2019;12-13;237.44
13-01-2019;13-14;237.22
13-01-2019;14-15;233.79
13-01-2019;15-16;233.35
13-01-2019;16-17;252.64
13-01-2019;17-18;282.73
13-01-2019;18-19;273.42
13-01-2019;19-20;238.86
13-01-2019;20-21;227.83
13-01-2019;21-22;221.95
13-01-2019;22-23;218.52
13-01-2019;23-00;214.5
14-01-2019;00-01;173.19
14-01-2019;01-02;184.81
14-01-2019;02-03;185.86
14-01-2019;03-04;193.6
14-01-2019;04-05;188.54
14-01-2019;05-06;199.41
14-01-2019;06-07;211.18
14-01-2019;07-08;212.67
14-01-2019;08-09;214.76
14-01-2019;09-10;219.08
14-01-2019;10-11;221.54
14-01-2019;11-12;224.44
14-01-2019;12-13;222.06
14-01-2019;13-14;219.3
14-01-2019;14-15;223.03
14-01-2019;15-16;233.31
14-01-2019;16-17;247.83
14-01-2019;17-18;253.12
14-01-2019;18-19;242.1
14-01-2019;19-20;233.75
14-01-2019;20-21;227.57
14-01-2019;21-22;221.16
14-01-2019;22-23;218.48
14-01-2019;23-00;214.68
15-01-2019;00-01;172.45
15-01-2019;01-02;178.93
15-01-2019;02-03;172.07
15-01-2019;03-04;151.14
15-01-2019;04-05;169.91
15-01-2019;05-06;187.49
15-01-2019;06-07;250.66
15-01-2019;07-08;240.98
15-01-2019;08-09;249.54
15-01-2019;09-10;242.62
15-01-2019;10-11;234.94
15-01-2019;11-12;225.71
15-01-2019;12-13;219.23
15-01-2019;13-14;218.18
15-01-2019;14-15;219.15
15-01-2019;15-16;209.17
15-01-2019;16-17;185.41
15-01-2019;17-18;223.55
15-01-2019;18-19;208.87
15-01-2019;19-20;134.68
15-01-2019;20-21;101.23
15-01-2019;21-22;79.63
15-01-2019;22-23;74.57
15-01-2019;23-00;-8.64
16-01-2019;00-01;-71.59
16-01-2019;01-02;-49.32
16-01-2019;02-03;-17.36
16-01-2019;03-04;-36.65
16-01-2019;04-05;-0.6
16-01-2019;05-06;78.89
16-01-2019;06-07;206.5
16-01-2019;07-08;289.93
16-01-2019;08-09;313.85
16-01-2019;09-10;260.96
16-01-2019;10-11;245.24
16-01-2019;11-12;245.61
16-01-2019;12-13;245.01
16-01-2019;13-14;245.09
16-01-2019;14-15;245.01
16-01-2019;15-16;251.64
16-01-2019;16-17;275.18
16-01-2019;17-18;314.22
16-01-2019;18-19;330.31
16-01-2019;19-20;253.21
16-01-2019;20-21;259.32
